title,company,address,salery,date,salary_min,salary_max,provence,city,area
C++开发工程师,飞思达技术（北京）有限公司,北京-海淀区,0.9-1.8万/月,05-07,9000.0,18000.0,北京市,北京,海淀区
自动化测试工程师,欧特克软件（中国）有限公司,上海-浦东新区,1-1.5万/月,05-06,10000.0,15000.0,上海市,上海,浦东新区
容器开发工程师(J10283),中标软件有限公司,天津-滨海新区,1-1.5万/月,05-06,10000.0,15000.0,天津市,天津,滨海新区
X86、Linux系统测试主板测试工程师,深圳市控汇智能股份有限公司,深圳,0.8-1万/月,05-06,8000.0,10000.0,广东省,深圳,
研究经理,易居（中国）企业管理集团有限公司...,上海-静安区,30-40万/年,05-06,25000.0,33333.0,上海市,上海,静安区
软件开发工程师,深圳市喜宏欣科技有限公司,深圳-龙岗区,5-9千/月,05-06,5000.0,9000.0,广东省,深圳,龙岗区
数据分析专员（知名汽车品牌项目）,上海普瑾特信息技术服务股份有限公...,南通,4-5千/月,05-06,4000.0,5000.0,江苏省,南通,
数据挖掘工程师,上海梁玉玺实业集团有限公司,上海-嘉定区,2-5万/月,05-06,20000.0,50000.0,上海市,上海,嘉定区
图像识别算法工程师,上海孚恩电子科技有限公司,上海-闵行区,1-1.5万/月,05-06,10000.0,15000.0,上海市,上海,闵行区
爬虫工程师,新华网股份有限公司,北京-西城区,1-2万/月,05-06,10000.0,20000.0,北京市,北京,西城区
web全栈工程师,杭州希格斯投资管理有限公司,杭州-滨江区,27-50万/年,05-06,22500.0,41666.0,浙江省,杭州,滨江区
数据分析师,任拓数据科技（上海）有限公司,上海-黄浦区,1-1.3万/月,05-06,10000.0,13000.0,上海市,上海,黄浦区
初级软件工程师,宁波梅山保税港区擎丰投资管理有限...,上海-黄浦区,6-8千/月,05-06,6000.0,8000.0,上海市,上海,黄浦区
数据挖掘工程师(J10097),深圳中兴飞贷金融科技有限公司,深圳-南山区,1.5-2万/月,05-06,15000.0,20000.0,广东省,深圳,南山区
Java开发工程师,中电科卫星导航运营服务有限公司,石家庄,10-15万/年,05-06,8333.0,12500.0,河北省,石家庄,
系统软件升级（OTA）开发工程师,行蜂科技（深圳）有限责任公司,武汉-洪山区,0.8-1万/月,05-06,8000.0,10000.0,湖北省,武汉,洪山区
IAAS云平台研发工程师,深圳市互盟科技股份有限公司,深圳-南山区,2-2.5万/月,05-06,20000.0,25000.0,广东省,深圳,南山区
数据仓库高级工程师/专家,佳杰科技（中国）有限公司 信息管...,广州-天河区,2-2.5万/月,05-06,20000.0,25000.0,广东省,广州,天河区
系统运维工程师,深圳民航凯亚有限公司,深圳-南山区,1.5-1.9万/月,05-06,15000.0,19000.0,广东省,深圳,南山区
Android开发工程师,奥夫工程技术（上海）有限公司,上海-长宁区,1.5-2万/月,05-06,15000.0,20000.0,上海市,上海,长宁区
数据分析主管,深圳小招信息技术有限公司,深圳-南山区,2.5-3万/月,05-06,25000.0,30000.0,广东省,深圳,南山区
软件实施工程师/技术支持工程师/运维工程师,杭州电泰实业有限公司,杭州-江干区,0.8-1.5万/月,05-06,8000.0,15000.0,浙江省,杭州,江干区
气象工程师,南京乐飞航空技术有限公司,南京-鼓楼区,10-15万/年,05-06,8333.0,12500.0,江苏省,南京,鼓楼区
高级全栈开发工程师,深圳市汉力高科技有限公司,深圳-南山区,2-3.5万/月,05-06,20000.0,35000.0,广东省,深圳,南山区
C#开发工程师,紫光云数科技有限公司,北京-海淀区,0.7-1.2万/月,05-06,7000.0,12000.0,北京市,北京,海淀区
"测试工程师（985,211学历）",上海微芒教育科技有限公司,上海-徐汇区,1.5-3万/月,05-06,15000.0,30000.0,上海市,上海,徐汇区
数据库运维工程师,恒大金融财富管理（深圳）有限公司...,深圳-南山区,1.5-2.5万/月,05-06,15000.0,25000.0,广东省,深圳,南山区
软件开发工程师,爱盛生物科技（上海）有限公司,上海-嘉定区,1-1.5万/月,05-06,10000.0,15000.0,上海市,上海,嘉定区
软件测试工程师,恒大高科技集团有限公司,深圳-南山区,1.5-2.5万/月,05-06,15000.0,25000.0,广东省,深圳,南山区
自动化测试工程师,宝龙酒店,上海-闵行区,2-3万/月,05-06,20000.0,30000.0,上海市,上海,闵行区
量化经理,谷科智投科技（深圳）有限公司,深圳-福田区,2-3.5万/月,05-06,20000.0,35000.0,广东省,深圳,福田区
开发主管,上海闪挖网络科技有限公司,上海-徐汇区,2-2.5万/月,05-06,20000.0,25000.0,上海市,上海,徐汇区
研发工程师（20届应届生）,上海云盾信息技术有限公司,上海-徐汇区,1.5-2万/月,05-06,15000.0,20000.0,上海市,上海,徐汇区
图像算法工程师,长沙莫之比智能科技有限公司,长沙-岳麓区,1-2万/月,05-06,10000.0,20000.0,湖南省,长沙,岳麓区
linux运维工程师,广东天拓海汇科技有限公司,广州,0.8-1.3万/月,05-06,8000.0,13000.0,广东省,广州,
ADAS算法工程师,福瑞泰克智能系统有限公司,杭州-滨江区,20-35万/年,05-06,16666.0,29166.0,浙江省,杭州,滨江区
游戏服务器开发工程师（C++）,广州元气蛋信息科技有限公司,广州-天河区,0.8-2万/月,05-06,8000.0,20000.0,广东省,广州,天河区
数据采集开发工程师,牯牛工业互联网（杭州）有限公司,杭州,1.5-2万/月,05-06,15000.0,20000.0,浙江省,杭州,
软件工程师,广州爱范儿科技股份有限公司,广州-海珠区,0.7-1.4万/月,05-06,7000.0,14000.0,广东省,广州,海珠区
机器人软件工程师,广东奥马迪机器人有限公司,佛山-禅城区,0.8-1万/月,05-06,8000.0,10000.0,广东省,佛山,禅城区
WK-后端工程师,金大元集团（上海）有限公司,上海-浦东新区,12-21万/年,05-06,10000.0,17500.0,上海市,上海,浦东新区
HIL/硬件在环系统开发/仿真测试工程师,南京越博动力系统股份有限公司,南京-建邺区,0.8-1.6万/月,05-06,8000.0,16000.0,江苏省,南京,建邺区
数据分析师,苏州市利来星辰塑业科技有限公司,苏州-工业园区,0.8-1万/月,05-06,8000.0,10000.0,江苏省,苏州,工业园区
信息技术\IT人员,山东渤海实业股份有限公司,滨州,3-5千/月,05-06,3000.0,5000.0,山东省,滨州,
风控数据分析/策略,深圳市侣行汽车服务有限公司,深圳-南山区,0.8-1万/月,05-05,8000.0,10000.0,广东省,深圳,南山区
渗透测试工程师,上海嘉洪信息技术有限公司,上海-浦东新区,0.6-1.3万/月,05-05,6000.0,13000.0,上海市,上海,浦东新区
后端高级架构师,上海能良电子科技有限公司,上海-宝山区,3-4万/月,05-05,30000.0,40000.0,上海市,上海,宝山区
图像算法工程师,南京畅淼科技有限责任公司,南京-江宁区,1.5-2万/月,05-05,15000.0,20000.0,江苏省,南京,江宁区
上位机软件工程师,武汉海亿新能源科技有限公司,武汉,0.7-1万/月,05-05,7000.0,10000.0,湖北省,武汉,
算法工程师,上海工业控制安全创新科技有限公司...,上海-普陀区,0.8-1.5万/月,05-05,8000.0,15000.0,上海市,上海,普陀区
运维工程师（双休）,广州超链信息技术有限公司,广州-越秀区,0.7-1.2万/月,05-05,7000.0,12000.0,广东省,广州,越秀区
大数据开发工程师,上海羿海信息科技有限公司,南昌-红谷滩新...,2-2.5万/月,05-05,20000.0,25000.0,江西省,南昌,红谷滩新...
软件工程师,苏州凌创电子系统有限公司,苏州,20-30万/年,05-05,16666.0,25000.0,江苏省,苏州,
