title,company,address,salery,date,salary_min,salary_max,provence,city,area
PHP工程师,苏州豚鼠科技有限公司,苏州-吴中区,1-1.5万/月,06-19,10000.0,15000.0,江苏省,苏州,吴中区
PHP开发工程师（五险一金+双休）,南京千鱼信息技术有限公司,南京-玄武区,0.5-1万/月,06-19,5000.0,10000.0,江苏省,南京,玄武区
PHP高级开发工程师,广州尧祺信息科技有限公司,广州-天河区,1.5-2.5万/月,06-19,15000.0,25000.0,广东省,广州,天河区
PHP开发工程师,上海东方传媒技术有限公司,上海-长宁区,12-20万/年,06-19,10000.0,16666.0,上海市,上海,长宁区
PHP高级开发工程师,上海中正达广基金销售有限公司,上海-徐汇区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,徐汇区
IT副总监,浙江美人计健康科技有限公司,杭州-萧山区,3-4万/月,06-02,30000.0,40000.0,浙江省,杭州,萧山区
游戏服务端程序,上海红龙网络科技有限公司,上海-杨浦区,1.5-2.5万/月,06-02,15000.0,25000.0,上海市,上海,杨浦区
荟聚中心店悦活里高薪诚聘收银员购五险4K,湖北悦联商业管理有限公司,武汉-硚口区,3-4.5千/月,06-02,3000.0,4500.0,湖北省,武汉,硚口区
货代销售,鸿霖国际货运代理（上海）有限公司...,上海,0.7-1万/月,06-02,7000.0,10000.0,上海市,上海,
反病毒工程师,奇安信集团,武汉,1-1.5万/月,06-02,10000.0,15000.0,湖北省,武汉,
高级网络工程师,四川战友和他的朋友们网络科技有限...,成都-都江堰市,1-1.5万/月,06-01,10000.0,15000.0,四川省,成都,都江堰市
系统运维工程师,深圳市傲冠软件股份有限公司,深圳-福田区,1.2-1.8万/月,06-01,12000.0,18000.0,广东省,深圳,福田区
小程序开发工程师,苏州富纳艾尔科技有限公司,苏州,0.6-1万/月,06-01,6000.0,10000.0,江苏省,苏州,
软件工程师,中山市伟豪家具有限公司,中山,0.6-1.2万/月,06-01,6000.0,12000.0,广东省,中山,
架构师,智慧芽信息科技（苏州）有限公司,上海-静安区,4-5万/月,06-01,40000.0,50000.0,上海市,上海,静安区
中级前端开发工程师,隆正信息科技有限公司,佛山-南海区,0.8-1.6万/月,06-01,8000.0,16000.0,广东省,佛山,南海区
Java开发工程师/后端工程师,中智诚征信有限公司,北京-西城区,1.5-2万/月,06-01,15000.0,20000.0,北京市,北京,西城区
DBA数据库管理员,江苏德睿互联网信息服务有限公司,南京-建邺区,1.5-2万/月,06-01,15000.0,20000.0,江苏省,南京,建邺区
002运维高级工程师,浙江融象企业管理咨询有限公司,杭州,1.5-2万/月,06-01,15000.0,20000.0,浙江省,杭州,
运维工程师,广州捕获信息科技有限公司,广州-黄埔区,0.8-1.5万/月,06-01,8000.0,15000.0,广东省,广州,黄埔区
装配电工,广州精秀热工设备有限公司,佛山-南海区,3-4.5千/月,06-01,3000.0,4500.0,广东省,佛山,南海区
数据库工程师,T3出行,南京-江宁区,1.5-3万/月,06-01,15000.0,30000.0,江苏省,南京,江宁区
Web前端开发工程师,南京音飞储存设备（集团）股份有限...,南京-江宁区,1-1.5万/月,06-01,10000.0,15000.0,江苏省,南京,江宁区
Web前端工程师,深圳市桥博设计研究院有限公司,深圳-龙华新区,0.8-1.5万/月,06-01,8000.0,15000.0,广东省,深圳,龙华新区
华为系统应用运维工程师,深圳鹏网智能股份有限公司,深圳-龙岗区,6-8千/月,06-01,6000.0,8000.0,广东省,深圳,龙岗区
网络信息安全工程师,重庆若可网络安全测评技术有限公司...,重庆-渝北区,2.5-5千/月,06-01,2500.0,5000.0,重庆市,重庆,渝北区
高级开发工程师,杭州合学教育科技有限公司,杭州-西湖区,1-2万/月,06-01,10000.0,20000.0,浙江省,杭州,西湖区
web前端开发,马鞍山微因泰克生物科技有限公司,马鞍山,3.5-8千/月,06-01,3500.0,8000.0,安徽省,马鞍山,
渗透测试工程师,陕西北佳信息技术有限责任公司,西安,5-9千/月,06-01,5000.0,9000.0,陕西省,西安,
运维高级工程师,广州海运（集团）房地产开发有限公...,广州-海珠区,1.5-2万/月,06-01,15000.0,20000.0,广东省,广州,海珠区
(Senior) Software Development Manager,深圳海德堡网络科技有限公司,深圳-南山区,2-4万/月,06-01,20000.0,40000.0,广东省,深圳,南山区
资深网站运营/SEO专家,珍岛信息技术（上海）股份有限公司...,上海,1.5-3万/月,06-01,15000.0,30000.0,上海市,上海,
Web前端设计师,上海弗兰广告有限公司,上海-静安区,0.6-1万/月,06-01,6000.0,10000.0,上海市,上海,静安区
Moodle开发工程师,山东大学继续教育学院,济南,0.8-1.5万/月,06-01,8000.0,15000.0,山东省,济南,
IT开发工程师,上海创亚纸业包装有限公司,上海,8-9千/月,06-01,8000.0,9000.0,上海市,上海,
大数据开发工程师,搜狐媒体,北京-海淀区,2.9-4万/月,06-01,29000.0,40000.0,北京市,北京,海淀区
网络推广专员,广州三叶网络科技有限公司,广州-天河区,4-8千/月,06-01,4000.0,8000.0,广东省,广州,天河区
渗透测试工程师（中科实数）,广州中国科学院软件应用技术研究所...,北京-海淀区,0.8-1.6万/月,06-01,8000.0,16000.0,北京市,北京,海淀区
新媒体编辑,深圳市旭泰净水设备有限公司,深圳-坪山区,6-8千/月,06-01,6000.0,8000.0,广东省,深圳,坪山区
数据分析及软件设计师,北京橡胶工业研究设计院有限公司,北京-海淀区,6-8千/月,06-01,6000.0,8000.0,北京市,北京,海淀区
Web前端开发工程师,中石化（深圳）电子商务有限公司,深圳-南山区,1-2万/月,06-01,10000.0,20000.0,广东省,深圳,南山区
网站技术总监,万互技术管理（深圳）有限公司,深圳-龙华新区,1-1.5万/月,05-31,10000.0,15000.0,广东省,深圳,龙华新区
Web开发工程师,上海九和堂中医药有限公司,上海,0.8-1.2万/月,05-31,8000.0,12000.0,上海市,上海,
镜像分析,浙江先飞杰思网络科技有限公司,杭州-滨江区,0.6-1万/月,05-31,6000.0,10000.0,浙江省,杭州,滨江区
平台开发工程师,深圳市创想网络系统有限公司,宁波-江北区,4.5-6千/月,05-31,4500.0,6000.0,浙江省,宁波,江北区
技术经理（教育）,北京斯芬克教育咨询有限公司,北京-东城区,2-3.5万/月,05-31,20000.0,35000.0,北京市,北京,东城区
后端研发工程师,明德亨电子,泸州,4.5-6千/月,05-31,4500.0,6000.0,四川省,泸州,
研发工程师（安全开发方向）,成都深思科技有限公司,成都-双流区,0.9-1.6万/月,05-31,9000.0,16000.0,四川省,成都,双流区
Java高级开发工程师,北京朗道新科智能科技有限公司重庆...,重庆-渝北区,1-1.4万/月,05-31,10000.0,14000.0,重庆市,重庆,渝北区
高级前端开发工程师,金邦达有限公司,北京-朝阳区,1.5-2万/月,05-31,15000.0,20000.0,北京市,北京,朝阳区
网站开发,衡阳市艺友文化传媒有限公司,衡阳,6-8千/月,05-31,6000.0,8000.0,湖南省,衡阳,
房地产销售 新房二手房 置业顾问,云南德佑地产总部,昆明-官渡区,20-30万/年,05-30,16666.0,25000.0,云南省,昆明,官渡区
web前端开发工程师,湖南互联移动科技有限公司,长沙,6-8千/月,05-30,6000.0,8000.0,湖南省,长沙,
系统运维工程师,深圳市华士精成科技有限公司,深圳-南山区,1-1.6万/月,05-30,10000.0,16000.0,广东省,深圳,南山区
平面美工设计师,深圳市天好科技有限公司,深圳-南山区,1-2万/月,05-30,10000.0,20000.0,广东省,深圳,南山区
网站开发工程师,合肥松迪传媒有限公司,合肥-蜀山区,6-8千/月,05-30,6000.0,8000.0,安徽省,合肥,蜀山区
网站优化/seo,成都武侯雍和华仁医疗美容门诊部有...,成都-武侯区,6-8千/月,05-30,6000.0,8000.0,四川省,成都,武侯区
Python开发工程师,珠海金刚科技有限公司,珠海-香洲区,0.6-1万/月,05-30,6000.0,10000.0,广东省,珠海,香洲区
前端开发工程师/软件工程师（月薪6-8k）,扬州宏创科技发展股份有限公司,扬州,6-8千/月,05-30,6000.0,8000.0,江苏省,扬州,
