title,company,address,salery,date,salary_min,salary_max,provence,city,area
golang开发工程师,上海平可行智能科技有限公司,上海-宝山区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,宝山区
IT Service Officer (Sales),贝卡尔特管理（上海）有限公司,无锡-江阴市,0.8-1.2万/月,06-19,8000.0,12000.0,江苏省,无锡,江阴市
Golong后端开发工程师（成都）,深圳市坎通智能科技有限公司,深圳-宝安区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,宝安区
Golang开发工程师,云数动能科技（深圳）有限公司,深圳-南山区,1-2万/月,06-19,10000.0,20000.0,广东省,深圳,南山区
CS Customer Application Specialist 客户应用专员,西门子医疗系统有限公司,西安,1.3-2.5万/月,06-19,13000.0,25000.0,陕西省,西安,
后台开发工程师（C++、golang）,亿达信息技术有限公司成都分公司,成都-高新区,0.8-1.1万/月,06-19,8000.0,11000.0,四川省,成都,高新区
MES Engineer,重庆万国半导体科技有限公司,重庆,5-8千/月,06-19,5000.0,8000.0,重庆市,重庆,
渗透测试工程师,中讯志远（武汉）科技有限公司,北京-海淀区,1-1.5万/月,06-19,10000.0,15000.0,北京市,北京,海淀区
测试开发工程师 (MJ001058),曙光信息产业股份有限公司,郑州,0.5-1万/月,06-19,5000.0,10000.0,河南省,郑州,
软件研发工程师(J10296),研华（中国）有限公司,西安-高新技术...,0.8-1.3万/月,06-19,8000.0,13000.0,陕西省,西安,高新技术...
云网全栈研发工程师,越亮传奇科技股份有限公司,广州,2-3.5万/月,06-19,20000.0,35000.0,广东省,广州,
运维工程师（paas平台）,上海新炬网络信息技术股份有限公司...,广州-越秀区,0.8-1.2万/月,06-19,8000.0,12000.0,广东省,广州,越秀区
SRE工程师,上海新炬网络信息技术股份有限公司...,杭州,2-2.5万/月,06-19,20000.0,25000.0,浙江省,杭州,
运维高级工程师,上海新炬网络信息技术股份有限公司...,广州-天河区,1.2-1.7万/月,06-19,12000.0,17000.0,广东省,广州,天河区
资深爬虫工程师,广州大学,广州-番禺区,1.2-2万/月,06-19,12000.0,20000.0,广东省,广州,番禺区
仪器设备销售/销售代表/销售经理,上海埃飞电子科技有限公司,上海-宝山区,1-3万/月,06-19,10000.0,30000.0,上海市,上海,宝山区
高级前端开发工程师,深圳市中电电力技术股份有限公司,武汉-东湖新技...,0.8-1.3万/月,06-19,8000.0,13000.0,湖北省,武汉,东湖新技...
高级前端开发工程师,深圳市中电电力技术股份有限公司,深圳-福田区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,福田区
服务端开发工程师,上海大智慧股份有限公司,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
移动运维工程师,上海大智慧股份有限公司,上海-浦东新区,1-1.5万/月,06-19,10000.0,15000.0,上海市,上海,浦东新区
golang开发工程师,上海大智慧股份有限公司,上海-浦东新区,1.5-2万/月,06-19,15000.0,20000.0,上海市,上海,浦东新区
安全攻防工程师(J23068),京东方科技集团股份有限公司,北京-大兴区,1.5-2万/月,06-19,15000.0,20000.0,北京市,北京,大兴区
PHP开发工程师,重庆渝欧跨境电子商务股份有限公司...,重庆-渝中区,0.6-1万/月,06-19,6000.0,10000.0,重庆市,重庆,渝中区
golang,宁波卓途通讯器材有限公司,宁波-鄞州区,12-20万/年,06-19,10000.0,16666.0,浙江省,宁波,鄞州区
Python开发工程师,深圳众芳信息有限公司,深圳-龙华新区,0.8-1.5万/月,06-19,8000.0,15000.0,广东省,深圳,龙华新区
Golang开发工程师（云计算）(J10874),北京天融信科技有限公司,深圳-南山区,0.8-1万/月,06-19,8000.0,10000.0,广东省,深圳,南山区
Linux C开发工程师（云安全-虚拟化）(J10530),北京天融信科技有限公司,北京,1.5-2万/月,06-19,15000.0,20000.0,北京市,北京,
Linux C开发工程师（云安全-分布式防火墙）(J10091),北京天融信科技有限公司,北京,1.5-2万/月,06-19,15000.0,20000.0,北京市,北京,
Linux C开发工程师（云安全-终端安全）(J10090),北京天融信科技有限公司,北京,1.3-2万/月,06-19,13000.0,20000.0,北京市,北京,
云平台开发工程师（网络方向/深圳）(J11031),北京天融信科技有限公司,深圳-南山区,1.6-1.8万/月,06-19,16000.0,18000.0,广东省,深圳,南山区
云平台开发工程师（存储方向/深圳）(J11030),北京天融信科技有限公司,深圳-南山区,1.6-1.8万/月,06-19,16000.0,18000.0,广东省,深圳,南山区
云平台开发工程师（虚拟化方向/深圳）(J11029),北京天融信科技有限公司,深圳-南山区,1.6-1.8万/月,06-19,16000.0,18000.0,广东省,深圳,南山区
云平台开发工程师（云计算/深圳）(J11026),北京天融信科技有限公司,深圳-南山区,1-1.5万/月,06-19,10000.0,15000.0,广东省,深圳,南山区
后台开发工程师-HDQKL,深圳瀚德金融科技控股有限公司,深圳-南山区,1.5-2.3万/月,06-19,15000.0,23000.0,广东省,深圳,南山区
云平台资深工程师,中邮信息科技（北京）有限公司,北京,2.5-4万/月,06-19,25000.0,40000.0,北京市,北京,
流媒体服务端开发工程师（base在苏州）,阔地教育科技有限公司,苏州,6-8千/月,06-19,6000.0,8000.0,江苏省,苏州,
软件工程师,深圳市大族电机科技有限公司,深圳-宝安区,0.5-2万/月,06-19,5000.0,20000.0,广东省,深圳,宝安区
视觉算法工程师,苏州中科先进技术研究院有限公司,宁波-鄞州区,1.5-3万/月,06-19,15000.0,30000.0,浙江省,宁波,鄞州区
图像算法工程师,苏州中科先进技术研究院有限公司,宁波-鄞州区,1.5-3万/月,06-19,15000.0,30000.0,浙江省,宁波,鄞州区
全栈工程师,苏州中科先进技术研究院有限公司,宁波-鄞州区,2.5-2.9万/月,06-19,25000.0,29000.0,浙江省,宁波,鄞州区
AI平台开发工程师,苏州中科先进技术研究院有限公司,宁波-鄞州区,1.5-3万/月,06-19,15000.0,30000.0,浙江省,宁波,鄞州区
Go月均5OOO/本科+销售代表+实习生+销售经理+市场营销,四川链家房地产经纪有限公司,成都-金牛区,0.8-1万/月,06-19,8000.0,10000.0,四川省,成都,金牛区
